index,AL,AT,BA,BE,BG,CH,CY,CZ,CZ+DE+SK,DE_LU,DK_1,DK_2,EE,ES,FI,FR,GB,GE,GR,HR,HU,IE(SEM),IE,IT,IT_BRNN,IT_CALA,IT_CNOR,IT_CSUD,IT_FOGN,IT_NORD,IT_ROSN,IT_SARD,IT_SICI,IT_SUD,LT,LV,MD,ME,MK,MT,NL,NO_1,NO_2,NO_3,NO_4,NO_5,PL,PT,RO,RS,SE_1,SE_2,SE_3,SE_4,SI,SK,TR,UA,UA_BEI,UA_IPS,XK,IS
2022-01-01 00:00:00+01:00,,61.84,,82.02,61.84,119.97,,50.05,,50.05,50.05,46.6,50.05,145.86,46.6,89.06,,,170.28,61.84,61.84,,0.27,,,170.28,170.28,170.28,,170.28,,170.28,170.28,170.28,50.05,50.05,,,,,124.7,132.89,132.89,46.6,46.6,132.89,59.03,145.86,61.84,120.03,46.6,46.6,46.6,46.6,61.84,50.05,,38.48,54.97,38.48,,
2022-01-01 01:00:00+01:00,,51.44,,67.07,41.33,101.54,,41.33,,41.33,41.33,41.33,41.33,114.9,41.33,78.48,,,155.72,51.44,41.33,,-0.01,,,155.72,155.72,155.72,,155.72,,155.72,155.72,155.72,41.33,41.33,,,,,124.7,129.3,129.3,41.33,41.33,129.3,49.37,114.9,41.33,98.61,41.33,41.33,41.33,41.33,51.44,41.33,,38.48,54.97,38.48,,
2022-01-01 02:00:00+01:00,,55.91,,75.11,43.09,52.13,,43.22,,43.22,43.22,42.18,42.18,113.87,42.18,85.16,,,147.09,55.91,43.22,,0.27,,,147.09,147.09,147.09,,147.09,,147.09,147.09,147.09,42.18,42.18,,,,,134.0,132.08,132.08,42.18,42.18,132.08,43.22,113.87,43.09,78.01,42.18,42.18,42.18,42.18,55.91,43.22,,38.48,54.97,38.48,,
2022-01-01 03:00:00+01:00,,46.94,,50.91,45.46,20.78,,45.46,,45.46,45.46,44.37,44.37,97.8,44.37,50.0,,,91.0,46.94,45.46,,-0.01,,,91.0,91.0,91.0,,91.0,,91.0,91.0,91.0,44.37,44.37,,,,,58.8,111.44,111.44,44.37,44.37,111.44,45.46,97.8,45.46,60.05,44.37,44.37,44.37,44.37,46.94,45.46,,38.48,54.97,38.48,,
2022-01-01 04:00:00+01:00,,37.67,,37.67,37.67,15.66,,37.67,,37.67,37.67,37.67,37.67,97.8,37.67,37.67,,,104.0,37.67,37.67,,-0.01,,,104.0,104.0,104.0,,104.0,,104.0,104.0,104.0,37.67,37.67,,,,,37.67,112.35,112.35,37.67,37.67,112.35,37.67,97.8,37.67,66.42,37.67,37.67,37.67,37.67,37.67,37.67,,38.48,54.97,38.48,,
2022-01-01 05:00:00+01:00,,39.7,,39.7,39.7,21.47,,39.7,,39.7,39.7,39.7,39.7,95.74,39.7,39.7,,,140.6,39.7,39.7,,-5.27,,,140.6,140.6,140.6,,140.6,,140.6,140.6,140.6,39.7,39.7,,,,,39.7,113.9,113.9,39.7,39.7,113.9,39.7,95.74,39.7,75.66,39.7,39.7,39.7,39.7,39.7,39.7,,38.11,54.97,38.11,,
2022-01-01 06:00:00+01:00,,40.59,,40.59,40.59,29.89,,40.59,,40.59,40.59,40.59,40.59,97.8,40.59,40.59,,,147.09,40.59,40.59,,-14.4,,,147.09,147.09,147.09,,147.09,,147.09,147.09,147.09,40.59,40.59,,,,,40.59,122.25,122.25,40.59,40.59,122.25,40.59,97.8,40.59,52.96,40.59,40.59,40.59,40.59,40.59,40.59,,98.94,90.52,98.94,,
2022-01-01 07:00:00+01:00,,43.26,,43.26,43.06,95.33,,43.26,,43.26,43.26,43.26,43.26,97.8,43.26,43.26,,,99.99,43.26,43.26,,-23.72,,,99.99,99.99,99.99,,99.99,,99.99,99.99,99.99,43.26,43.26,,,,,43.26,118.58,118.58,43.26,43.26,118.58,43.26,97.8,43.06,57.16,43.26,43.26,43.26,43.26,43.26,43.26,,102.61,90.52,102.61,,
2022-01-01 08:00:00+01:00,,49.66,,49.66,40.62,95.36,,49.66,,49.66,49.66,49.66,49.66,97.8,49.66,49.66,,,40.62,49.66,49.66,,-16.5,,,67.99,67.99,67.99,,67.99,,67.99,67.99,67.99,49.66,49.66,,,,,49.66,118.47,118.47,49.44,49.44,118.47,49.66,97.8,40.62,65.07,49.44,49.44,49.66,49.66,49.66,49.66,,115.77,90.52,115.77,,
2022-01-01 09:00:00+01:00,,70.05,,70.05,43.51,95.43,,70.05,,70.05,70.05,70.05,70.05,70.05,65.48,70.05,,,43.51,70.05,70.05,,0.0,,,95.0,95.0,95.0,,95.0,,95.0,95.0,95.0,70.05,70.05,,,,,70.05,117.86,117.86,49.46,49.46,117.86,70.05,70.05,43.51,77.07,49.46,49.46,70.05,70.05,70.05,70.05,,111.55,90.52,111.55,,
2022-01-01 10:00:00+01:00,,76.79,,76.79,45.96,68.42,,76.79,,76.79,76.79,76.79,76.79,76.79,76.53,76.79,,,135.8,76.79,76.79,,0.01,,,135.8,135.8,135.8,,135.8,,135.8,135.8,135.8,76.79,76.79,,,,,76.79,120.03,120.03,49.27,49.27,120.03,76.79,76.79,45.96,75.6,49.27,49.27,76.79,76.79,76.79,76.79,,115.36,90.52,115.36,,
2022-01-01 11:00:00+01:00,,84.1,,84.1,62.45,60.88,,84.1,,84.1,84.1,84.1,84.1,84.1,83.63,84.1,,,150.7,84.1,84.1,,54.1,,,150.7,150.7,150.7,,150.7,,150.7,150.7,150.7,84.1,84.1,,,,,84.1,117.07,117.07,48.89,48.89,117.07,84.1,84.1,62.44,79.0,48.89,48.89,84.1,84.1,84.1,84.1,,115.77,90.52,115.77,,
2022-01-01 12:00:00+01:00,,94.74,,94.74,64.44,70.72,,94.74,,94.74,94.74,94.74,94.74,94.74,94.74,94.74,,,155.72,94.74,94.74,,80.7,,,155.72,155.72,155.72,,155.72,,155.72,155.72,155.72,94.74,94.74,,,,,94.74,117.17,117.17,48.45,48.45,117.17,94.74,94.74,64.44,82.01,48.45,48.45,94.74,94.74,94.74,94.74,,117.27,90.52,117.27,,
2022-01-01 13:00:00+01:00,,96.8,,96.8,63.96,74.99,,96.8,,96.8,96.8,96.8,96.8,96.8,94.02,96.8,,,63.96,96.8,96.8,,112.47,,,147.09,147.09,147.09,,147.09,,147.09,147.09,147.09,96.8,96.8,,,,,96.8,120.08,120.08,44.21,44.21,120.08,96.8,96.8,63.96,77.4,48.74,48.74,96.8,96.8,96.8,96.8,,120.93,90.52,120.93,,
2022-01-01 14:00:00+01:00,,97.17,,97.17,79.94,87.46,,97.17,,97.17,97.17,97.17,97.17,97.8,97.17,97.17,,,100.0,97.17,97.17,,121.0,,,100.0,100.0,100.0,,100.0,,100.0,100.0,100.0,97.17,97.17,,,,,97.17,124.54,124.54,42.38,42.38,124.54,97.17,97.8,79.94,88.01,49.06,49.06,97.17,97.17,97.17,97.17,,120.93,90.52,120.93,,
2022-01-01 15:00:00+01:00,,101.0,,95.21,101.0,100.16,,101.0,,101.0,101.27,101.27,101.27,98.52,101.27,98.52,,,155.0,101.0,101.0,,123.88,,,155.0,155.0,155.0,,155.0,,155.0,155.0,155.0,101.27,101.27,,,,,101.27,124.89,124.89,42.09,42.09,124.89,101.0,98.52,101.0,108.02,49.56,49.56,101.27,101.27,101.0,101.0,,137.75,90.52,137.75,,
